Year,Consumer Confidence Index US,Unemployment U.S.,Year_Avg,Unemployment U.S. Avg,CCI U.S. Avg
2007,110.2,4.6,2007,4.616666667,103.3583333
2007,111.2,4.5,2008,5.8,57.95
2007,108.2,4.4,2009,9.283333333,45.225
2007,106.3,4.5,2010,9.608333333,54.48
2007,108.5,4.4,2011,8.933333333,58.12975
2007,105.3,4.6,2012,8.075,67.06758333
2007,111.9,4.7,2013,7.375,73.21666667
2007,105.6,4.6,2014,6.166666667,86.80041667
2007,99.5,4.7,2015,5.283333333,97.96666667
2007,95.2,4.7,2016,4.85,99.85833333
2007,87.8,4.7,,,
2007,90.6,5,,,
2008,87.3,5,,,
2008,76.4,4.9,,,
2008,65.9,5.1,,,
2008,62.8,5,,,
2008,58.1,5.4,,,
2008,51,5.6,,,
2008,51.9,5.8,,,
2008,58.5,6.1,,,
2008,61.4,6.1,,,
2008,38.8,6.5,,,
2008,44.7,6.8,,,
2008,38.6,7.3,,,
2009,37.4,7.8,,,
2009,25.3,8.3,,,
2009,26.9,8.7,,,
2009,40.8,9,,,
2009,54.8,9.4,,,
2009,49.3,9.5,,,
2009,47.4,9.5,,,
2009,54.5,9.6,,,
2009,53.4,9.8,,,
2009,48.7,10,,,
2009,50.6,9.9,,,
2009,53.6,9.9,,,
2010,56.5,9.8,,,
2010,46.4,9.8,,,
2010,52.3,9.9,,,
2010,57.7,9.9,,,
2010,62.66,9.6,,,
2010,54.3,9.4,,,
2010,51,9.4,,,
2010,53.2,9.5,,,
2010,48.6,9.5,,,
2010,49.9,9.4,,,
2010,57.8,9.8,,,
2010,63.4,9.3,,,
2011,64.8,9.1,,,
2011,72,9,,,
2011,63.8,9,,,
2011,66,9.1,,,
2011,61.7,9,,,
2011,57.6,9.1,,,
2011,59.2,9,,,
2011,45.2,9,,,
2011,46.4,9,,,
2011,40.9,8.8,,,
2011,55.2,8.6,,,
2011,64.757,8.5,,,
2012,61.511,8.3,,,
2012,71.6,8.3,,,
2012,69.5,8.2,,,
2012,68.7,8.2,,,
2012,64.4,8.2,,,
2012,62.7,8.2,,,
2012,65.4,8.2,,,
2012,61.3,8.1,,,
2012,68.4,7.8,,,
2012,73.1,7.8,,,
2012,71.5,7.7,,,
2012,66.7,7.9,,,
2013,58.4,8,,,
2013,68,7.7,,,
2013,61.9,7.5,,,
2013,69,7.6,,,
2013,74.3,7.5,,,
2013,82.1,7.5,,,
2013,81,7.3,,,
2013,81.8,7.3,,,
2013,80.2,7.3,,,
2013,72.4,7.2,,,
2013,72,6.9,,,
2013,77.5,6.7,,,
2014,79.41,6.6,,,
2014,78.301,6.7,,,
2014,83.861,6.7,,,
2014,81.7,6.2,,,
2014,82.2,6.2,,,
2014,85.2,6.1,,,
2014,90.333,6.2,,,
2014,93.4,6.2,,,
2014,89,6,,,
2014,94.1,5.7,,,
2014,91,5.8,,,
2014,93.1,5.6,,,
2015,103.8,5.7,,,
2015,98.8,5.5,,,
2015,101.4,5.5,,,
2015,94.3,5.4,,,
2015,94.6,5.5,,,
2015,99.8,5.3,,,
2015,91,5.3,,,
2015,101.3,5.1,,,
2015,102.6,5.1,,,
2015,99.1,5,,,
2016,101.8,4.9,,,
2016,103.5,4.9,,,
2016,96.7,4.9,,,
2015,92.6,5,,,
2016,113.7,4.7,,,
2016,100.8,4.8,,,
2016,109.4,4.6,,,
2016,97.4,4.9,,,
2016,92.4,4.7,,,
2016,94.7,5,,,
2016,96.1,5,,,
2016,94,4.9,,,
2016,97.8,4.9,,,
2015,96.3,5,,,
